name,address,ratings,category,description,location,image_url
Can Tho Museum,"1 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.2,Museums,"A large museum showcasing the history, culture, and achievements of Can Tho city and the surrounding Mekong Delta region.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzTsOxOBVCH3g0AyNJ8bmmB59ZlMvp8PbjRholXFILxSnw0hOYMQU4Q7oND2wF5hirSDXxi0QB4EjbMsTXnN_xOig_uLCsdFDC8WcAtB8KIdnpGti_JLCGmEN05VVewf0GIJJ26=w32-h32-p-k-no
Hung King Temple,"Vo Van Kiet Street, Binh Thuy Ward, Binh Thuy District",4.6,Shrines/Temples,"A newly built, large-scale temple complex dedicated to the Hung Kings, the legendary founders of Vietnam.",Can Tho ,
Can Tho Love Bridge,"Ninh Kieu Pedestrian Bridge, Tan An Ward, Ninh Kieu District",4.6,Landmarks,"A pedestrian bridge near Ninh Kieu Wharf, famous for its colorful evening lights and 'love locks' left by couples.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyAVVyLvXAHAEfD2quWxSJhub91U1vkbdBWeUMVsWgHaQJp0EcoLWj5JbrUy-vjKxjJ0_xMEpcAtCcOU5WrR7J9BiyPdx7tDqG-2Aj8znLnhrIaoB1K6QbQz-IW-ux5MLwNTSwzPIn7SBQ=w32-h32-p-k-no
Can Tho Market,"136 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.2,Landmarks,"The main indoor market in Can Tho, located in a historic building. Sells fresh produce, local goods, and souvenirs.",Can Tho ,
Binh Thuy ancient house,"144 Bui Huu Nghia Street, Binh Thuy Ward, Binh Thuy District",4.0,Museums,"A well-preserved 19th-century house (Nha Co Binh Thuy) blending French, Chinese, and Vietnamese architecture. Famous as a filming location for 'The Lover'.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwf7cfTG78oVCfQ3xCjOVxnslY-oAtT6-qoa7lZnqWYJ4j7DwEiXLQV_OAS5Zq8QovUhsSrJEW2Xa7G-To7fJ_75EVOwwBUpAjjyFd736TyaSnjwS2ZFPV5ujMbJqWDTfRZ1TLF=w32-h32-p-k-no
Linh Mekong Tour Can Tho,"14/32 Ly Tu Trong Street, Thoi Binh Ward, Ninh Kieu District",5.0,Landmarks,A highly-rated local tour operator specializing in floating market and Mekong Delta boat tours.,Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz8ixSKHmUpzUlJbHMsuWwRM3PpqkgFwDQ5oitydhNkP0pFDg8jKAMXqL1FzWh6J5NK8F0pdGkubReMt-wlZcXxyS5uDBji_DZveFubqCUSstfTObjXIIYPHL7JVbQWQ3h1xr65=w32-h32-p-k-no
Ong Pagoda (Quang Trieu Assembly Hall),"32 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.6,Shrines/Temples,"A vibrant 19th-century Chinese pagoda, notable for its intricate woodcarvings, colorful decorations, and incense coils.",Can Tho ,
Mekong Delta River,"Hung Phu Ward, Ninh Kieu District",4.5,Landmarks,"A general reference to the Mekong River, which is the lifeblood of the region, encompassing the floating markets and islands.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwxncj-ZwylIBf54hrzNuRD-jvwPwpA6F6G8cC6CW2jkekw9UhZn22dLQNkFmBvKcqNklb67IDVA3AGcJi_ZgKsc5OE7IvZ_xWad4E_u2wkKK8WziiKm4eTlfzjZwcRjxyGuGO0=w32-h32-p-k-no
Military Zone 9 Museum,"6 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.4,Museums,"A museum displaying artifacts, weapons, and vehicles from the Vietnam War, focusing on the military history of the Mekong Delta (Military Region 9).",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzRHd1F0Rl3D1xHSOg-YUIlDgtLLp5KLrmEhIUmbs9nCN1Vyqe3k2uss7B71Or34RpRBX28YJbz7mB3OMCM7jX6kTi_-ENQr7NPYFY3is0tCGJPtL1cRRoxjRUt3kn1glM8Kdz1=w32-h32-p-k-no
Relic Park Plums,"Ta Thi Phi Street, An Binh Ward, Binh Thuy District",4.2,Landmarks,"A local eco-garden or orchard where visitors can see and pick plum fruits, popular during the harvest season.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSybR3C0b81AsgJCHfZ0hxUI3IpJ-TjoLZv4myuRY3MpHgR0QGY1Cf2RB05m_UjJNB3nscWx4ca8-pPwW9CxcujUH4mr-VR9n4s0ggm22CqtEL0w7HEyGfc_jqID6mB-hOsYiddBTM2cJK8=w32-h32-p-k-no
Bang Lang Stork Sanctuary,"Thuan An Ward, Thot Not District",3.8,Landmarks,"A large bird sanctuary (Vuon Co Bang Lang) where thousands of storks, herons, and other birds gather, best viewed at dawn or dusk.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwICwFSMP0Hl1IeQ6_d4OKlsFCDgmOQNGEqTIPusvuojGwLEMXrgLwv3AOU3jeUFW9gd0sdJC4tSoi-3qEjZiiqCn2152fiyjU8_KA13SJlLoSArk2yOdcCyIIfJInX48JNqQY=w32-h32-p-k-no
Museum of Tarot,"44 Nguyen Khuyen Street, Tan An Ward, Ninh Kieu District",4.6,Museums,"A unique museum dedicated to the history, art, and symbolism of Tarot cards from around the world.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKvEKXimZu5Ssfg9uZ27_ZesJow_y1qSvtrPdk4jy8xF7Rjl8a9b8Ri5Xgrp8apWGXeQyE18CiY4gDJii4K8-Pq5g_eXLPC4J-y88adY3jL6cRle2UKOAmassWMhn6CmgRKJ3fFA=w128-h86-k-no
Muniransay Khmer Buddhist Temple,"36 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.4,Shrines/Temples,"A prominent Khmer Buddhist temple (Wat Munirangsay) in the city center, known for its vibrant, ornate Theravada architecture.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxC8RLNMSrAop_tav1BI6rKiXlgZuPskooPnYB-bcNqPzmln5m1eUEBvCd9SnVYzW_kVIKjG0qu464H1dXgqWGKQz1lQj7tQhZaub-xh5_ZoE13pJE1XckQbD7ZW6pLFVfy81Cl=w32-h32-p-k-no
Tuan Tuong Eco-Garden,"693 Nhon Loc 1A Hamlet, Phong Dien Town, Phong Dien District",4.6,Landmarks,"A local eco-garden and restaurant in Phong Dien, offering fresh fruit, local cuisine, and a tranquil, rural atmosphere.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyZ4pOBaCd5OYXqs_opwu1-cRknZxeJyr8YLoOpPuTEUwqNUMq2h5Cy7WdYWsJoUdIUjFc27X3w245kAnqAMcVdVKnCyd8y0t2G9voBivWmqzvb4DzmOY9EYVFPihEJA8Kh00okKc3umKKq=w32-h32-p-k-no
Ho Chi Minh Monument,"24 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.6,Landmarks,"A large bronze statue of Ho Chi Minh located at Ninh Kieu Wharf, a major city landmark.",Can Tho ,
Poet Phan Van Tri's Tomb Historical Site,"Phong Dien Town, Phong Dien District",4.3,Museums,"A historical site and tomb dedicated to Phan Van Tri, a prominent 19th-century patriotic poet.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzRESFc2AeLrxHQqo16fOtptuBCkyHrGDV7KFj9PbR6TZydoLUMs8M9cgDLX8keUmAT9pa_S1iRvGXKfNqWXo0pa9w59WVaoI8sUT4XGVZnrVjc4WZfdRFYbAbN7z7V4mZunnVC=w32-h32-p-k-no
Ngoc Huong My Khanh Dragon Fruit Garden,"37, Group 15, My Nhon Hamlet, My Khanh Commune, Phong Dien District",4.8,Landmarks,"A local farm specializing in growing dragon fruit, open to visitors for tours and tasting.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwhyvUr28cHVbSO00FQ6hlhwBqpq7BX7zBq9dcKWO5gq_acEY26f_fo4sbh_b5znSzwk3txhv_iicr7f0O0vv8b-cUWRa6EM-xSgws_7tP4QZa_1BNJqO7opaetf46Ql6bST5yZ=w32-h32-p-k-no
Cai Rang Floating Market,"An Binh Ward, Ninh Kieu District",4.1,Landmarks,"The largest and most famous floating market in the Mekong Delta, where locals trade fruits, vegetables, and goods from boats.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwLnXsy1WM4LguvhLII8Bsx6FT3TrpbJ_laEo9MUwARxED9H3PLj255afsjEzlKgamWRBYXPyGSUC73YaohfzoCTN0FMP8BCxnV9uYb4sMvoA0z_xsuG9sxPC3df8xMn_eTZsEZrX8XNsvN=w32-h32-p-k-no
Ninh Kieu Wharf,"106 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.4,Landmarks,"A scenic riverside park and boat pier in the center of Can Tho, popular for evening strolls, boat tours, and floating restaurants.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIbI4u_J9F9pa5x1jpJFxMB5soOzfaN-cJJ6ZODUYPrmcCVtTPBcPmgpLlZEKKCAQHSnEw3WtzVz8sYv77h2kZqEPHLnQsuieiLucY0sN6xf4REtJTJ3EjyHveIp1Q28S4u2pX=w32-h32-p-k-no
Truc Lam Phuong Nam Zen Monastery,"Provincial Road 923, My Khanh Commune, Phong Dien District",4.6,Shrines/Temples,"The largest Zen monastery in the Mekong Delta, known for its grand, traditional Vietnamese Buddhist architecture.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtnFfN_NNmjQKHZQAWzWZZ5DSRgD4oqAWcnl7k2SXAcLr3C02YwLOWHIX6VNOFG60MUUs9TwxwgNdJ40zJSqorPbVENB2QWETgDkDdka0BvE5vUswKSJzjiTdLkiQ4ixcEGyPu=w32-h32-p-k-no
My Khanh Tourist Village,"335 My Nhon Hamlet, My Khanh Commune, Phong Dien District",4.0,Landmarks,"An eco-tourism village offering a glimpse of rural Mekong Delta life, with fruit orchards, folk games, and a small zoo.",Can Tho ,https://lh3.googleusercontent.com/p/AF1QipPAeS9Bl-Unb0CXB-87EIhaaNTiR93yK2c-AXf8=w32-h32-p-k-no
Can Tho Museum,"1 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.2,Museums,"A large museum showcasing the history, culture, and achievements of Can Tho city and the surrounding Mekong Delta region.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzTsOxOBVCH3g0AyNJ8bmmB59ZlMvp8PbjRholXFILxSnw0hOYMQU4Q7oND2wF5hirSDXxi0QB4EjbMsTXnN_xOig_uLCsdFDC8WcAtB8KIdnpGti_JLCGmEN05VVewf0GIJJ26=w32-h32-p-k-no
Hung King Temple,"Vo Van Kiet Street, Binh Thuy Ward, Binh Thuy District",4.6,Shrines/Temples,"A newly built, large-scale temple complex dedicated to the Hung Kings, the legendary founders of Vietnam.",Can Tho ,
Can Tho Love Bridge,"Ninh Kieu Pedestrian Bridge, Tan An Ward, Ninh Kieu District",4.6,Landmarks,"A pedestrian bridge near Ninh Kieu Wharf, famous for its colorful evening lights and 'love locks' left by couples.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyAVVyLvXAHAEfD2quWxSJhub91U1vkbdBWeUMVsWgHaQJp0EcoLWj5JbrUy-vjKxjJ0_xMEpcAtCcOU5WrR7J9BiyPdx7tDqG-2Aj8znLnhrIaoB1K6QbQz-IW-ux5MLwNTSwzPIn7SBQ=w32-h32-p-k-no
Can Tho Market,"136 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.2,Landmarks,"The main indoor market in Can Tho, located in a historic building. Sells fresh produce, local goods, and souvenirs.",Can Tho ,
Binh Thuy ancient house,"144 Bui Huu Nghia Street, Binh Thuy Ward, Binh Thuy District",4.0,Museums,"A well-preserved 19th-century house (Nha Co Binh Thuy) blending French, Chinese, and Vietnamese architecture. Famous as a filming location for 'The Lover'.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwf7cfTG78oVCfQ3xCjOVxnslY-oAtT6-qoa7lZnqWYJ4j7DwEiXLQV_OAS5Zq8QovUhsSrJEW2Xa7G-To7fJ_75EVOwwBUpAjjyFd736TyaSnjwS2ZFPV5ujMbJqWDTfRZ1TLF=w32-h32-p-k-no
Ong Pagoda (Quang Trieu Assembly Hall),"32 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.6,Shrines/Temples,"A vibrant 19th-century Chinese pagoda, notable for its intricate woodcarvings, colorful decorations, and incense coils.",Can Tho ,
Mekong Delta River,"Hung Phu Ward, Ninh Kieu District",4.5,Landmarks,"A general reference to the Mekong River, which is the lifeblood of the region, encompassing the floating markets and islands.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwxncj-ZwylIBf54hrzNuRD-jvwPwpA6F6G8cC6CW2jkekw9UhZn22dLQNkFmBvKcqNklb67IDVA3AGcJi_ZgKsc5OE7IvZ_xWad4E_u2wkKK8WziiKm4eTlfzjZwcRjxyGuGO0=w32-h32-p-k-no
Military Zone 9 Museum,"6 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.4,Museums,"A museum displaying artifacts, weapons, and vehicles from the Vietnam War, focusing on the military history of the Mekong Delta (Military Region 9).",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzRHd1F0Rl3D1xHSOg-YUIlDgtLLp5KLrmEhIUmbs9nCN1Vyqe3k2uss7B71Or34RpRBX28YJbz7mB3OMCM7jX6kTi_-ENQr7NPYFY3is0tCGJPtL1cRRoxjRUt3kn1glM8Kdz1=w32-h32-p-k-no
Relic Park Plums,"Ta Thi Phi Street, An Binh Ward, Binh Thuy District",4.2,Landmarks,"A local eco-garden or orchard where visitors can see and pick plum fruits, popular during the harvest season.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSybR3C0b81AsgJCHfZ0hxUI3IpJ-TjoLZv4myuRY3MpHgR0QGY1Cf2RB05m_UjJNB3nscWx4ca8-pPwW9CxcujUH4mr-VR9n4s0ggm22CqtEL0w7HEyGfc_jqID6mB-hOsYiddBTM2cJK8=w32-h32-p-k-no
Bang Lang Stork Sanctuary,"Thuan An Ward, Thot Not District",3.8,Landmarks,"A large bird sanctuary (Vuon Co Bang Lang) where thousands of storks, herons, and other birds gather, best viewed at dawn or dusk.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwICwFSMP0Hl1IeQ6_d4OKlsFCDgmOQNGEqTIPusvuojGwLEMXrgLwv3AOU3jeUFW9gd0sdJC4tSoi-3qEjZiiqCn2152fiyjU8_KA13SJlLoSArk2yOdcCyIIfJInX48JNqQY=w32-h32-p-k-no
Museum of Tarot,"44 Nguyen Khuyen Street, Tan An Ward, Ninh Kieu District",4.6,Museums,"A unique museum dedicated to the history, art, and symbolism of Tarot cards from around the world.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKvEKXimZu5Ssfg9uZ27_ZesJow_y1qSvtrPdk4jy8xF7Rjl8a9b8Ri5Xgrp8apWGXeQyE18CiY4gDJii4K8-Pq5g_eXLPC4J-y88adY3jL6cRle2UKOAmassWMhn6CmgRKJ3fFA=w128-h86-k-no
Muniransay Khmer Buddhist Temple,"36 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.4,Shrines/Temples,"A prominent Khmer Buddhist temple (Wat Munirangsay) in the city center, known for its vibrant, ornate Theravada architecture.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxC8RLNMSrAop_tav1BI6rKiXlgZuPskooPnYB-bcNqPzmln5m1eUEBvCd9SnVYzW_kVIKjG0qu464H1dXgqWGKQz1lQj7tQhZaub-xh5_ZoE13pJE1XckQbD7ZW6pLFVfy81Cl=w32-h32-p-k-no
Ho Chi Minh Monument,"24 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.6,Landmarks,"A large bronze statue of Ho Chi Minh located at Ninh Kieu Wharf, a major city landmark.",Can Tho ,
Poet Phan Van Tri's Tomb Historical Site,"Phong Dien Town, Phong Dien District",4.3,Museums,"A historical site and tomb dedicated to Phan Van Tri, a prominent 19th-century patriotic poet.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzRESFc2AeLrxHQqo16fOtptuBCkyHrGDV7KFj9PbR6TZydoLUMs8M9cgDLX8keUmAT9pa_S1iRvGXKfNqWXo0pa9w59WVaoI8sUT4XGVZnrVjc4WZfdRFYbAbN7z7V4mZunnVC=w32-h32-p-k-no
Ngoc Huong My Khanh Dragon Fruit Garden,"37, Group 15, My Nhon Hamlet, My Khanh Commune, Phong Dien District",4.8,Landmarks,"A local farm specializing in growing dragon fruit, open to visitors for tours and tasting.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwhyvUr28cHVbSO00FQ6hlhwBqpq7BX7zBq9dcKWO5gq_acEY26f_fo4sbh_b5znSzwk3txhv_iicr7f0O0vv8b-cUWRa6EM-xSgws_7tP4QZa_1BNJqO7opaetf46Ql6bST5yZ=w32-h32-p-k-no
Quang Ninh Gate Tourist Attraction,"Noi Bai - Ha Long Expressway, Binh Duong, Dong Trieu, Quang Ninh",4.0,Landmarks,"A large rest stop and tourist complex on the expressway, designed as a gateway to Quang Ninh province with shops and services.",Quang Ninh,https://lh3.googleusercontent.com/p/AF1QipM8JI-diSq9uEiBvHX6tpPrGNXpK-lHHEwOcnE_=w32-h32-p-k-no
Thien Cung Cave,"Ha Long Bay, Ha Long City, Quang Ninh",4.8,Landmarks,"'Heavenly Palace Cave.' A large cave on Dau Go Island in Ha Long Bay, famous for its magnificent stalactites and stalagmites.",Quang Ninh,
Dau Go Cave,"Cat Hai, Hai Phong",4.5,Landmarks,"'Wooden Stakes Cave.' A large cave on Dau Go Island, near Thien Cung, historically linked to General Tran Hung Dao's victory at the Battle of Bach Dang.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXIHCtlbpAa6L6Q_knzkwGuZfYmyeL795eZyhoIIk3NtnvTocX8buIG2bWlfY4JRWPIqnBYXWjvhlZ4Q3NKuJLocCKB7DKztBpeJonJjGwF8ocQPm6AGagFyiheac-TOGKHawoIzKZiHbi=w32-h32-p-k-no
Cai Bau Pagoda,"Hamlet 1, Van Don, Quang Ninh",4.6,Shrines/Temples,"Also known as Truc Lam Giac Tam Zen Monastery, this is a large, scenic pagoda complex in Van Don overlooking Bai Tu Long Bay.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxdrKSUvPTsuxf6bxTYemngkjryEpA9fYpeGFV0MyK8DH8mcYU8nIjHFW-MqZLX3om4Y8am9djhuDJRHBEYLK1a8IR6lXkuw26ViPIgQgKYdN6SXWCGoTOeyCbPKuz9WzUfRP0i=w86-h114-k-no
Bai Tho Mountain,"Hang Noi, Hong Gai Ward, Ha Long, Quang Ninh",4.2,Landmarks,"'Poem Mountain.' A limestone mountain in Ha Long City, famous for a 15th-century poem carved by King Le Thanh Tong. Offers panoramic bay views.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwJdXq6dX6dyU8EwVeDjD0X7nKYp98NRrk7jil0UZTZrds-qNtFeaCDH6CKfFagy71Taj7CfIpJQEKIbUB_UaHFul9-ICtpALTBjC_WoblShyUZscsO5Pw0PlnAAtwuRunRWoYt=w86-h107-k-no
Old Bai Chay Lighthouse,"2 Ha Long Street, Bai Chay Ward, Ha Long, Quang Ninh",4.4,Landmarks,"A historic lighthouse, now a popular photo spot, offering views of the Bai Chay Bridge and Ha Long Bay.",Quang Ninh,
Thanh Dang Mountain,"Thanh Son Ward, Uong Bi City, Quang Ninh",4.9,Landmarks,"A mountain in Uong Bi, part of the Yen Tu range. It is the location of the famous Ba Vang Pagoda.",Quang Ninh,
Yen Tu Mountain,"Thuong Yen Cong Commune, Uong Bi City, Quang Ninh",4.5,Shrines/Temples,"A sacred Buddhist mountain range, the cradle of Truc Lam Zen Buddhism, featuring a complex of pagodas and temples accessible by cable car.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyTLTWnPXUwdbrh5khDpEoFsyHlsumVvJBVla4ivwa6bGbtw7pnKpk0q_OgG-PgzbJQoC_HHIlt2Woz6yK-ansX1b5cejNalFHa9cYwErFt52TrslJnPhexHFkixnmGLI6Eij0E=w32-h32-p-k-no
Ba Vang Pagoda,"Group 17B, Area 5A, Quang Trung Ward, Uong Bi City, Quang Ninh",4.5,Shrines/Temples,"A large, well-known Buddhist pagoda complex located on Thanh Dang Mountain, attracting many pilgrims.",Quang Ninh,https://lh3.googleusercontent.com/p/AF1QipPNFDvjINCkU5qQoE1wXJYcxfwymF0kOiBSuz10=w32-h32-p-k-no
Khe Van Waterfall,"Huc Dong Commune, Binh Lieu District, Quang Ninh",4.3,Landmarks,"A scenic, multi-tiered waterfall in the mountainous Binh Lieu District, a popular destination for trekking and nature lovers.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEGji8ulbjmo4zKl6SmI0_g-Y0xzQI0Mdr7ujcgmmdwLSIQJzVbq7Kikv9ftEAg5j0itHFhlrnrlso3HAEP4zB_Sbd8N-_FaGvI0Vk6e6Fe2FtkUeez7XM5B9b5ISWAg8Wg-8W=w32-h32-p-k-no
Man Mountain,"Thong Nhat Commune, Hoanh Bo, Quang Ninh",4.3,Landmarks,"A mountain in the Hoanh Bo area (now part of Ha Long City), offering natural scenery and hiking opportunities.",Quang Ninh,
Sun World Halong Park,"9 Ha Long Street, Bai Chay Ward, Ha Long, Quang Ninh",4.4,Landmarks,"A large amusement park complex featuring the Queen Cable Car, Sun Wheel, Zen Garden, and a dragon-themed park.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaYti-DzATuXRBjWVrBQZjnR_nRet2DzZNfFPmNs3OSz6q44sHnFPYdMOMbTaRc-alY8kbRgBeAZY7QJjwaO8-6g7k3M54UGr2ZJ3X_cgMTomCMkLHhuABmZB6gJ2iRZghvp5nOi32kJGQ=w86-h114-k-no
Sung Sot Cave,"Ha Long Bay, Ha Long City, Quang Ninh",4.5,Landmarks,"'Surprise Cave.' One of the largest and most famous caves in Ha Long Bay, located on Bo Hon Island, featuring three large chambers.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKkTlj8q9Ya2GGZ7i9f4jmtnvV3VOTtqAq6sLixYuXfiOEGVDP_llkz62oIdEZ08hlQYZ3u6XeaMByMnFVNGuKrcAi6Wu-jFvue_awhzV_Ipsf_qe42O7ZRlN20wjjQ32XR5I=w32-h32-p-k-no
Sun Marina Ha Long,"Ke Quan, Tuan Chau Ward, Ha Long, Quang Ninh",4.7,Landmarks,"A modern, large-scale international marina and harbor for tourist cruises and yachts, located on Tuan Chau Island.",Quang Ninh,https://lh3.googleusercontent.com/p/AF1QipNE7wOp9xeaSchFfCj1d0nhOJMqJc18GqHiE721=w32-h32-p-k-no
An Sinh Temple,"An Sinh Commune, Dong Trieu, Quang Ninh",4.4,Shrines/Temples,"A historical temple in Dong Trieu, part of a complex dedicated to the kings and ancestors of the Tran Dynasty.",Quang Ninh,
Cai Chien Island,"Cai Chien Commune, Hai Ha District, Quang Ninh",4.2,Landmarks,"A remote island known for its pristine beaches, clear waters, and developing eco-tourism, offering a peaceful getaway.",Quang Ninh,
Halong View Tower,"Bai Chay Ward, Ha Long City, Quang Ninh",4.3,Landmarks,"Likely referring to the Sun Wheel, a large Ferris wheel in the Sun World complex that functions as an observation tower.",Quang Ninh,
Lang Cang Waterfall,"Don Dac Commune, Ba Che District, Quang Ninh",4.2,Landmarks,"A natural waterfall in the remote Ba Che District, known for its scenic beauty in the middle of a forest.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwbGi9XQBENOtKg5-TSU0MpYHNua9KlCNJSB_5vuzC3SagM0A5BbceD9PhzoqbX0kShqCl_8rW_-eRhWpIVJWaTmbu1xEsdDRqQmSthgsML7RHOibeiySwJKrs_EQKE_OJEj45syQ=w159-h86-k-no
Zen Garden,"Dang Ba Hat Street, Hong Gai Ward, Ha Long, Quang Ninh",4.4,Landmarks,"A Japanese-style garden located on Ba Deo Hill within the Sun World Halong Park complex, accessible via the Queen Cable Car.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxkqVXv1RlVHthwcEHn9GO9DSAQEQBN8mn31y6-8RdPc_0sQs6D0t_agFVJoM38tkCAL-0LTGK-NPOY5eIIio4-R2a6X5-PXD43f3I44JRrHZUPvUQMnlFQO49golQU1Q1r9QN6BA=w86-h114-k-no
Mo Waterfall - Dong Trieu,"Dong Trieu Town, Quang Ninh",4.5,Landmarks,"'Dream Waterfall.' A scenic natural waterfall in Dong Trieu, a popular local spot for picnics and swimming.",Quang Ninh,
Tay Yen Tu Tourist Area,"Tay Yen Tu, Son Dong District, Bac Giang",4.5,Shrines/Temples,"The 'West Yen Tu' spiritual and eco-tourism complex, located on the Bac Giang side of the Yen Tu mountain range, with temples and a cable car.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyTLTWnPXUwdbrh5khDpEoFsyHlsumVvJBVla4ivwa6bGbtw7pnKpk0q_OgG-PgzbJQoC_HHIlt2Woz6yK-ansX1b5cejNalFHa9cYwErFt52TrslJnPhexHFkixnmGLI6Eij0E=w32-h32-p-k-no
Ba Tang Mountain,"Bac Son Ward, Uong Bi City, Quang Ninh",4.6,Landmarks,"'Three-Tiered Mountain.' A scenic mountain in Uong Bi, part of the Yen Tu range, offering natural landscapes.",Quang Ninh,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgOWuu9QU9bmuEirdhvfwWdNiK0qrp5XMqnp5BEJimVPcztcKeVhz9J2WBvheOCAKYMJdgvrU0Bg69d1ELQX_wI_2ulBRaluBAtps6zurSMXSn7obREI5Tce_uJU0aAqNczcQ5=w32-h32-p-k-no
Cat Cat Tourism Village,"Cat Cat Hamlet, Sa Pa",4.1,Landmarks,"A H'mong ethnic village known for its traditional crafts, rice terraces, and a scenic waterfall. A popular trekking destination.",Sapa,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy5RiBWMUZSqbcZvzvYt-wksBdoHRHMgW9kUqVz0oaq8lBfD52XWZYFt6oB0Zp6vIM4b6eE42FHYZWrtRTcNHJbKE4DS-5_A-IPTAAPlEtICdiej1jbPOLWBeyIxbaySDt7HBDIT-XuevOp=w32-h32-p-k-no
Sapa Lake Square,"Xuan Vien Street, Sa Pa Town",4.6,Landmarks,"A central public space located next to Sapa Lake, a popular spot for strolling, relaxing, and local events.",Sapa,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwaWbtY7MArnlP9_yuvR9blump2cjqPTXptKK0zXYS0XrpEwDbQE08eg7CgvqONoI6yfeDa44L4NApIjmDpRxpDgh_3UyRLAm8vdnT7_HrK65vwTWU63Z-TPIUnYqEamC_gsg9msKfx5k9w=w32-h32-p-k-no
Sapa Square,"Thach Son Street, Sa Pa Town",4.5,Landmarks,"The main town square of Sa Pa, located in front of the Stone Church. A major hub for tourists and local activities.",Sapa,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPb7Cru-8EpoQUmIJ-h9wlS4yWcKpsXXzETKLf6LsrXBLN0DGh_HRIRie4cPC-DP-f3BwR_Oc_7I775vYAHEvvF2pPdr69waJDt8ftKn6iVKHyH7leE-NBXGxM4MTXS5YXGLIf=w114-h86-k-no
